,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
139556,Salaries for Support Personnel,Undistributed,,ADMIN ASST II,,General,School ,1.0,School Leadership,,,42115.6490858,,,General Fund,
139984,SALARIES OF REGULAR EMPLOYEES,GENERAL K-8 EDUCATION,GENERAL FUND,"Teacher, Intervention ",,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,219.03592000000003,,Regular,,REGULAR INSTRUCTION
140796,,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,500.13,,,General Fund,
141719,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,732.8127806819998,,,General Fund,
142072,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,415.919011414,,,General Fund,
144993,EMPLOYER PD MED CONTRIBUTION,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,Tutor Paraprofessional ,,,,,NON-PROJECT,PARAPROFESSIONAL,,294.35,,Regular,,REGULAR INSTRUCTION
144997,Personal Services - Health Services,Principal's Office,,NURSE (SCHOOL),HEALTH SERVICES,,District Wide Resources,1.0,,SCHOOL NURSE,Health Services,55092.42,,,General Purpose School,
145015,Part-Time Hourly,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,37287.957,,,Title I- Part A,
145527,SALARIES FOR OVERTIME,GENERAL HIGH SCHOOL EDUCATION, MILL LEVY,"Secretary, Executive II ",,,INTERDISCIPLINARY,,COLLEGE READINESS,OFFICE/ADMINISTRATIVE SUPPORT,,509.13695999999993,COLLEGE READY,n/a,,REGULAR INSTRUCTION
146424,Professional Salaries,Undistributed,,"ASSOC SUP, PK-8",,General,Assoc Superintendent-Area  Elementary ,1.0,Instructional Leadership,,,169820.518271,,,General Fund,
146681,Professional Salaries,Undistributed,,LIBRARIAN- ELEM,,General,School ,1.0,Instructional Resource & Media Services,,,54450.6384236,,,General Fund,
148146,Miscellaneous Operating Costs,Accelerated Education,,,Instruction And Curriculum,Fees (Not Associated With Travel),School ,,Curriculum Development And Instructional Staff Dev,,Creating Qualified Teachers,599.34,TRAVEL,,Esea Title Ii Part A Teacher & Principal Training,
148219,Regular *,,Support Services - Administration,FLEXIBLE CONTENT EXPERT,,,CHIEF ACADEMIC OFFICER,1.0,Education Services*,,,84126.53664489997,ADM/PROF,,Alternative Schools,ALT 
149414,TRAVEL - EMPLOYEES,Misc,MISCELLANEOUS,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,175.36,,,General Fund,
150039,Professional Salaries,Undistributed,,LIBRARIAN- CENT,,General,Library Media Center,1.0,Instructional Resource & Media Services,,,89346.70745409997,,,General Fund,
153018,Salaries for Support Personnel,Undistributed,,WEB MANAGER,,General,Office of Planning and Community Relations,1.0,General Administration,,,66921.991396,,,General Fund,
154149,Professional Salaries,Accelerated Education,,COUNS- ELEM,,General,School ,1.0,"Guidance, Counseling and Evaluation Services",,,58442.32534990001,,,General Fund,
155106,Professional Salaries,Special Education,,PHYS THERAPIST,,Occupation Therapist,Special Education AH/VH,1.0,Instruction,,,59128.47371109999,,,General Fund,
157119,,Misc,,School Resource Officer,,,,1.0,,RESOURCE OFFICER (NO SUB REQD) ,,31263.93,,,General Fund,
157142,Career Ladder,Basic Educational Services,,CL ,,General,School ,,Instruction,,,3277.55535327,,,General Fund,
158185,Salaries for Support Personnel,Undistributed,,ACCTG CLERK IV,,General,Insurance and Risk Management,1.0,General Administration,,,48476.5567157,,,Workers Comp Self Insurance,
158448,Food ,Undistributed,,,,General,School ,,Food Services,,,118470.44,,,Nat'l Schl Breakfast & Lunch Prog.,
158485,GENERAL SUPPLIES,GENERAL ELEMENTARY EDUCATION, MILL LEVY,(blank),,,,,ARTS ED,UNDESIGNATED,,1133.41,,Regular,,REGULAR INSTRUCTION
159687,Professional Salaries,Undistributed,,ACADEMY DIRECTO,,General,School ,1.0,School Leadership,,,95244.16753810001,,,General Fund,
160273,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,CUSTODIAN REGULAR,Custodial Department,Extra Duty Pay/Overtime For Support Personnel,School ,,Facilities Maintenance And Operations,REG FOOD SERVICE WORKER ,,451.56,,,General Operating Fund,ADDL REGULAR PAY-NOT SMOOTHED
161673,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,SCHOOL PRINCIPAL,All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School ,1.0,School Leadership,PRINCIPAL,Undistributed,75809.3836417,,,General Operating Fund,REGULAR PAY
162170,Miscellaneous Operating Costs,Undistributed,,,,Food - Inservice,School ,,School Leadership,,,122.44,,,Campus Activity Funds,
162256,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Office of Innovation and Development,,General Administration,,,787.531284785,,,General Fund,
162885,Consulting Services,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,20000.23,,,General Fund,
163074,TEACHER COVERAGE FOR TEACHER,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,"Student Advisor, Midd Sch ",,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,66.3868,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
163298,Professional Salaries,Special Education,,LSSP,,General,Special Ed Evaluation Services,1.0,"Guidance, Counseling and Evaluation Services",,,58666.17424570001,,,IDEA-B Formula,
163399,Substitute for Other Professionals,Undistributed,,,,General,Special Ed Evaluation Services,,"Guidance, Counseling and Evaluation Services",,,0.41,,,General Fund,
163976,Personal Services - Security,Operations,,,SECURITY,,District Wide Resources,0.0,,TIME CARD CLASSIFIED Addl,Security,625.2326478790001,,,General Purpose School,
164219,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,1.0,Student Transportation,,,32591.992367900002,,,General Fund,
166470,SALARIES OF REGULAR EMPLOYEES,SPECIAL EDUCATION-S/L-MAST,FEDERAL GDPG FUND - FY ,Speech Language Pathologst ,,,SPECIAL EDUCATION,0.198253172691,TITLE VI-IDEA B-MAIN,PROFESSIONAL-INSTRUCTIONAL,,14113.205882799995,,n/a,,SPECIAL EDUCATION
167102,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Principal, Elementary ",,,,,NON-PROJECT,UNDESIGNATED,,-1407.44,,n/a,,EMPLOYEE BENEFITS
167411,SALARIES OF REGULAR EMPLOYEES,GENERAL K-8 EDUCATION,FEDERAL GDPG FUND - FY ,"Teacher, Elementary ",,,,,TITLE I,PROFESSIONAL-INSTRUCTIONAL,,2633.9429600000003,,Regular,,REGULAR INSTRUCTION
168219,Miscellaneous Contracted Services,Undistributed,,,,Miscellaneous Contracted Services,School ,,Instructional Resources And Media Services,,,4309.0,,,Campus Activity Funds,
169063,,NURSES,,Clinic Assistant,,,,0.49,,CLINIC ASSISTANT ,,1542.84,,,General Fund,
171564,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Super Sub D/D ",,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,166.336698367,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
171644,"Water,Wastewater, Sanitation",Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,119156.94,,,General Fund,
172606,SUPPLIES,MIDDLE SCHOOL PROGRAM  6-8,MIDDLE SCHOOL PROGRAM 6-8,,,,,,INSTRUCTION,,,61.87,,,General Fund,
172894,Equipment Maintenance Repairs,Basic Educational Services,,,,Orchestra,School ,,Instruction,,,2419.33,,,General Fund,
173685,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,"COUNSELOR, REGULAR",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School ,0.65,"""Guidance, Counseling And Evaluation Services""",COUNSELOR MIDDLE SCHOOL,Undistributed,51085.329829,,,General Operating Fund,REGULAR PAY
173894,EMPLOYEE BENEFITS,SPECIAL ED-S/L-CHILD FIND,GENERAL FUND,Speech Language Pathologst ,,,SPECIAL EDUCATION,,SPECIAL EDUCATION - ITINERANT,PROFESSIONAL-INSTRUCTIONAL,,1055.45,SPEECH & LANGUAGE,n/a,,SPECIAL EDUCATION
174566,Extra Duty/Signing Bonus Pay,Athletics and Related,,"FR COACH, VOLLY",,General,School ,,Cocurricular & Extra Curricular Activities,,,3360.16915555,,,Athletics,
176221,GENERAL SUPPLIES,ITEMGB - TRADE AND INDUSTRIAL ED,ITEMGB - STATE GDPG FUND,(blank),,,OPPORTUNITY SCHOOL,,NON-PROJECT,UNDESIGNATED,,20976.69,ADULT VOC ED OPPORTUNITY,Alternative,,EDUCATION FOR ADULTS
177280,TRAVEL - EMPLOYEES,Misc,SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS,,,,,,IMPROVEMENT OF INSTR SERV,,,26.24,,,Schoolwide Schools,
177544,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,-0.32,,,Title I- Part A,
178280,Food ,Undistributed,,,,General,School ,,Food Services,,,70012.74,,,Nat'l Schl Breakfast & Lunch Prog.,
178340,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Health Technician ,,,SCHOOL NURSE SERVICES,,NON-PROJECT,UNDESIGNATED,,-1.8,,n/a,,EMPLOYEE BENEFITS
178862,Salaries for Support Personnel,Undistributed,,FOOD PROD SP V,,General,School ,0.875,Food Services,,,24133.6149475,,,Nat'l Schl Breakfast & Lunch Prog.,
182387,WORKERS' COMPENSATION         ,,,,,,School ,,INST STAFF TRAINING SVCS      ,,,0.11999999999999995,,,GENERAL FUND                  ,TEACHER TRAINING              
182418,Professional Salaries,Special Education,,OCCUP THER,,Occupation Therapist,Special Education AH/VH,0.8,Instruction,,,53578.141466500005,,,IDEA-B Formula,
182884,Employee Allowance,Special Education,,TRAVEL,,General,Special Education,,Community Services,,,2871.23568947,,,General Fund,
183188,Salaries And Wages For Teachers And Other Professi,Services To Students With Disabilities (Special Education),Idea Part B Formula,SPECIAL EDUC. PROGRM DIRECTOR,Instruction And Curriculum,Extra Duty Wages,Summer School,,Instructional Leadership,PROGRAM DIRECTOR,Extra Duty Salary,145.641198661,,,Idea Part B Formula,EXTENDED YEAR
184100,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,PUBLIC INFORMATION,Public Relations Department,Salaries And Wages For Teachers And Other Professi,Administration - No Description Provided,1.0,General Administration,GRAPHIC DESIGNER,,56937.234459399995,,,General Operating Fund,REGULAR PAY
184551,Travel And Subsistence - Employee Only,Undistributed,,,,Travel And Subsistence - Employee Only,School ,,Curriculum Development And Instructional Staff Dev,,Undistributed,1638.82,,,General Operating Fund,
185079,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,"TRANSPORTATION, AIDE,SPEC.ED",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,BUS DRIVER AIDE,transportation - Second Runs,448.44,,,General Operating Fund,EXTRA RUN
185934,,Basic Educational Services,,,,Theatre Arts,School ,,Instruction,,,-0.39,,,General Fund,
186741,EMPLOYEE BENEFITS,SPECIAL EDUCATION-OT,GENERAL FUND,Occupational Therapist ,,,SPECIAL EDUCATION,,SPECIAL EDUCATION - ITINERANT,PROFESSIONAL-INSTRUCTIONAL,,548.97,SPEECH & LANGUAGE,n/a,,SPECIAL EDUCATION
188957,EMPLOYER PD MED CONTRIBUTION,SECURITY SERVICES,GENERAL FUND,Security Patrol ,,,SAFETY AND SECURITY,,SAFETY & SECURITY,PROFESSIONAL-OTHER,,504.22,,n/a,,OPERATION AND MAINT OF PLANT
191113,Employee Allowance,Undistributed,,TRAVEL,,General,Cable TV,,Instructional Resource & Media Services,,,1258.15605566,,,General Fund,
191703,Electricity,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,94258.08,,,General Fund,
192455,Extra Duty/Overtime,Accelerated Education,,,,Cycle  (used for grants),School ,,Plant Maintenance & Operations,,,1378.9,,, Century Community Learning,
194281,Professional Services,Accelerated Education,,,,In Dist Charter College Prep,School 6-12,,Instruction,,,1084475.61,,,General Fund,
195468,,,LOCAL,SPEECH PATHOLOGIST,,,RELATED SERVICES,1.0,,,,102164.10697,SPECIAL EDUCATION INSTRUCTION,,,
196894,Professional Salaries,Undistributed,,ELEM PRINCIPAL,,General,School ,1.0,School Leadership,,,100235.61282,,,General Fund,
197489,Professional Salaries,Undistributed,,COUNS- HS,,General,School ,1.0,"Guidance, Counseling and Evaluation Services",,,61081.9106742,,,General Fund,
197853,Extra Duty/Overtime,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,717.3060000000003,,,Title I- Part A,
198286,Professional Salaries,Undistributed,,HS PRINCIPAL,,General,School ,1.0,School Leadership,,,129655.77017,,,General Fund,
198656,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,414.57901141400004,,,General Fund,
198690,Salaries for Support Personnel,Accelerated Education,,H/R TECH II,,General,Human Resources,0.75,General Administration,,,31141.2421368,,,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",
199027,Professional Salaries,Undistributed,,ELEM ASST PRIN,,Line Item that is paid with Campus' money,School ,0.03,School Leadership,,,2010.08168116,,,General Fund,
199128,Personal Services - Teachers,Instruction - Regular,,TCHER SCIENCE (SECONDARY),,,,1.0,,TEACHER,Alternative Schools Instruction,59099.42,,,General Purpose School,
199573,Dues,Undistributed,,,Research And Evaluation,Dues,Undistributed,,"""Guidance, Counseling And Evaluation Services""",,Undistributed,326.17,,,General Operating Fund,
199594,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1.0,Plant Maintenance & Operations,,,31813.1904495,,,General Fund,
200091,Substitute Teachers,Undistributed,,,,Community Training and Assistance Center,School ,,Curriculum & Instructional Staff Development,,,327.05553532700003,,,General Fund,
201408,Professional Salaries,Undistributed,,COUNS- HS,,General,School ,1.0,"Guidance, Counseling and Evaluation Services",,,61081.350674199995,,,General Fund,
201614,Personal Services - Teachers,Instruction - Regular,,,,,District Wide Resources,0.0,,TIME CARD CERTIFIEDAddl,Alternative Schools Instruction,1631.71,,,General Purpose School,
201806,SUPPLIES,MEDIA CENTERS,MEDIA CENTERS,,,,,,EDUCATIONAL MEDIA SERVICE,,,75.09,,,General Fund,
203755,Personal Services - Teachers,Instruction - Regular,,,,,,0.0,,CCOACH CERT TCHRACCT,Regular Instruction,8363.42,,,General Purpose School,
204082,Overtime *,,Support Services--Pupils,,,Non-Certificated Salaries And Wages,,,Direction Of Support Services - Pupils *,,,-2321.48135,,,Special Trust,
205012,SALARIES OF REGULAR EMPLOYEES,LITERACY COACHES,LEVY OVERRIDE,"Facilitator,Sec Humanities ",,,,,FACILITATOR,PROFESSIONAL-INSTRUCTIONAL,,2592.91432,,Turnaround,,INSTRUCTIONAL STAFF
206886,EMPLOYER PD MED CONTRIBUTION,IMPROVEMENT OF INSTRUCTION,FEDERAL GDPG FUND - FY ,"Coordinator, Central Curr ",,,MATH / SCIENCE,,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-OTHER,,,MATH/SCIENCE,n/a,,INSTRUCTIONAL STAFF
207657,,Misc,,School Resource Officer,,,,1.0,,RESOURCE OFFICER (NO SUB REQD) ,,59267.3,,,General Fund,
210361,General Supplies,Basic Educational Services,,,,Theatre Arts,School ,,Instruction,,,10079.93,,,General Fund,
210748,General Supplies,Undistributed,,,Legal Department / Board,Capital Supplies ( Unit Cost  and > ,Legal Department - Tax Collection Division,,General Administration,,,28.64,,,General Operating Fund,
212033,General Supplies,Basic Educational Services,,,,Social Studies,School ,,Instruction,,,249.17,,,General Fund,
212196,Salaries Or Wages For Support Personnel,PRE-K,Operations,"CLASSROOM AIDE,PRE-K BILINGUAL",All Campus Payroll,Salaries Or Wages For Support Personnel,School ,0.76,Instruction,AIDE,,10366.1143432,,,General Operating Fund,REGULAR PAY
212214,Personal Services - Employees Salaries and Wages,,Support Services - Instructional Staff,,,Personal Services - Employees Salaries And Wages,,,Instructional Staff Training Services *,,,32105.63,,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I CARRYOVER
213006,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,School ,0.0,INST STAFF TRAINING SVCS      ,,,80.95,,,GENERAL FUND                  ,
213733,Professional Salaries,Accelerated Education,,LSSP,,Stud Support,Special Ed Evaluation Services,1.0,"Guidance, Counseling and Evaluation Services",,,54650.335029,,,General Fund,
215398,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Principal,,,,,NON-PROJECT,UNDESIGNATED,,-1474.06,,n/a,,EMPLOYEE BENEFITS
215461,Employee Allowances,PRE-K,Head Start,SCHOOL CLINIC ADMINISTRATION,Instruction And Curriculum,Travel Allowances,School ,,Health Services,NURSE,Regular Salary,186.47,,,Head Start,TRAVEL
215534,Reproduction Services,Undistributed,,,,General,Office of Planning and Community Relations,,General Administration,,,56500.2,,,General Fund,
215774,Software,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,3000.49,,,General Fund,
217399,Salaries for Support Personnel,Special Education,,COORD- TRAN PLA,,General,Transportation Office,1.0,Student Transportation,,,72916.08513390001,,,General Fund,
217438,Part-Time Hourly,Undistributed,,,,Benchmark Testing,Core Curriculum,,"Guidance, Counseling and Evaluation Services",,,10924.9045109,,,General Fund,
218519,General Supplies,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,2531.74,,, Century Community Learning,
220110,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,28185.6423402,,,General Fund,
220669,Employee Allowance,Undistributed,,TRAVEL,,General,Management Info System,,Data Processing Services,,,1257.79605566,,,General Fund,
221158,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY ,"Teacher, Short Term Sub ",,,HUMANITIES,0.00215517241379,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-INSTRUCTIONAL,,55.023969234,HUMANITIES,n/a,,INSTRUCTIONAL STAFF
221455,Personal Services - Other Compensation,Instruction - Regular,,,,,,0.0,,Career Ladder I/Ext Learning,Regular Instruction,574.66,,,General Purpose School,
221987,Personal Services - Education Assistants,Instruction - Regular,,,,,,0.0,,SUBSTITUTE TEACHER,Alternative Schools Instruction,168.68,,,General Purpose School,
222412,CERTIFICATED EMPLOYEES SALARIES AND WAGES,,Special Instruction,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,103960.44,,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PUBLIC SALARIES
223044,Employee Allowance,Basic Educational Services,,TRAVEL,,Choral Music,School ,,Instruction,,,256.355917555,,,General Fund,
223292,Salaries And Wages For Teachers And Other Professi,Services To Students With Disabilities (Special Education),Idea Part B Formula,"TEACHER, VISUALLY HANDICAPPED",Instruction And Curriculum,Salaries And Wages For Teachers And Other Professi,School ,1.0,Instruction,TEACHER MASTER,Regular Salary,66467.1013724,,,Idea Part B Formula,REGULAR PAY
224732,EMPLOYEE BENEFITS,TRANSPORTATION-OPERATIONS,GENERAL FUND, Hour Bus Driver  Yrs ,,,,,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",,1615.8100000000004,TRANSPORTATION,n/a,,STUDENT TRANSPORTATION
225717,Food/Refreshment,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,2000.28,,,General Fund,
227356,Professional Salaries,Basic Educational Services,, ENGLISH,,General,School ,1.0,Instruction,,,53887.48292130001,,,General Fund,
227533,Reading Materials including Library Books,Undistributed,,,,General,Chief Performance Officer,,"Guidance, Counseling and Evaluation Services",,,2999.51,,,General Fund,
228671,Salaries for Support Personnel,Undistributed,,SECURITY GUARD,,Line Item that is paid with Campus' money,School ,1.0,Security & Monitoring Servicess,,,25649.1595865,,,General Fund,
228898,WATER & SEWER                 ,,,,,,School ,,OPERATION OF PLANT            ,,,23461.65,,,GENERAL FUND                  ,
