,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
26658,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,DATA ENTRY OPERATOR           ,,,,School ,1.0,GUIDANCE SERVICES             ,,,32932.941086700004,,GENERAL FUND                  ,
27562,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, KINDERGARTEN",,,Salaries And Wages For Teachers And Other Professi,School ,,Instruction,All Campus Payroll,TEACHER BACHELOR,-904.812935265,PRE-K,General Operating Fund,REGULAR PAY
27641,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Occupational Therapist,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Occupational Therapist,,,,,1.0,,,OCCUPATIONAL THERAPIST ,66510.44,SPECIAL EDUCATION CATEGORY V,General Fund,
27690,Security & Safety,O&M,Shared Services,Non-School,Unspecified,School Monitor/Security,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Security Comm. Officer ,n/a,,,SAFETY AND SECURITY,,EMPLOYEE RETIREMENT,,UNDESIGNATED,310.16,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
27819,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Principal, Elementary ",Regular,,,,0.998199087095,NON-PROJECT,,ADMINISTRATOR,99009.79599369998,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
27923,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Support Services--Pupils,,,,Purchased Services,,,Direction Of Support Services - Pupils *,,,999.82,,Special Trust,HOME TEAM MARKETING 
28008,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,FEDERAL GDPG FUND - FY ,Speech Lang Pathology Asst ,n/a,,,SPECIAL EDUCATION,,TITLE VI-IDEA B-MAIN,,PROFESSIONAL-OTHER,473.86,SPECIAL EDUCATION-S/L,,SPECIAL EDUCATION
28171,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodial Helper - Day ,Regular,,,,0.990983587734,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",29643.841457700004,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
29452,Aides Compensation,Instruction,School Reported,School,ELL,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,ITEMGD PRESCHOOL PROGRAM,Early Childhood Education ,Regular,,,,0.101493261554,ELPA - PRESCHOOL PROG,,PARAPROFESSIONAL,2538.53781458,EARLY CHILDHOOD,,REGULAR INSTRUCTION
29829,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Super / Dir / Supv,,,DIRECTOR SEC. INSTRUCTION,,Regular Instructional Support,,Central Office,1.0,,CURRICULUM AND INSTRUCTION,EXECUTIVE DIRECTOR,108668.91,District Administration,General Purpose School,
29909,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,FEDERAL GDPG FUND - FY ,Occupational Therapist ,n/a,,,SPECIAL EDUCATION,,TITLE VI-IDEA B-MAIN,,PROFESSIONAL-INSTRUCTIONAL,251.95,SPECIAL EDUCATION-OT,,SPECIAL EDUCATION
30194,School Administration,Leadership,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,129.48,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
30228,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,40.0,PRIMARY GRADES PROGRAM ,General Fund,
30820,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Poverty,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,SUPPLIES & MATERIALS,,,,Parent Involvement,General Supplies,School ,,Community Services,Instruction And Curriculum,,537.02,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",
31100,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,LEVY OVERRIDE,"Teacher, Elementary ",Regular,,,,,COMPUTERS FOR CHILDREN TECHNOL,,PROFESSIONAL-INSTRUCTIONAL,4573.68,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
31122,Student Transportation,O&M,Shared Services,Non-School,Special Education,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,Printing and Binding,,Support Services - Pupil Transportation,,,,Contracted Craft Or Trade Services *,,,Other Pupil Transportation Services*,,,2499.67,,General,TRANSPORTATION PLANNING
31571,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Other,Base Salary/Compensation,PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,COMPUTER TECHNOLOGY SPECIALIST,,,Salaries And Wages For Teachers And Other Professi,School ,0.04,Instruction,All Campus Payroll,TEACHER MASTER,2984.10303568,PRE-K,General Operating Fund,REGULAR PAY
31634,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TRANSPORTATION,GENERAL FUND,Bus Driver - Regular ,n/a,,,GARAGE,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",905.03,TRANSPORTATION-OPERATIONS,,STUDENT TRANSPORTATION
31723,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Week,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,234.85244,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
31877,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Awards and Prizes,,Community Services,,,,Awards And Prizes *,,,Other Community Services *,,,-363.43,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I C/O-ENCUMBR
32180,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,,,Regular Instructional Support,,,0.0,,,SUBSTITUTE TEACHER,56.82,Support - Regular Instruction,General Purpose School,
32250,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,188.195972222,PRE-K,General Operating Fund,REGULAR PAY
33070,Substitute Compensation,Instruction,NO_LABEL,Non-School,NO_LABEL,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,,,,,,,,,,,,,1406.93,,,
33296,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Instructional Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,LITERACY COACH                ,,,,School ,,PARENTAL INVOLVEMENT          ,,,84.77999999999999,,FED THRU STATE-CASH ADVANCE   ,TITLE I                       
34017,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,(Exec) Director,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,SPECIAL EDUC. PROGRM DIRECTOR,,,Salaries And Wages For Teachers And Other Professi,Undistributed,1.0,Instructional Leadership,Special Education,PROGRAM DIRECTOR,75794.04262200001,Services To Students With Disabilities (Special Education),General Operating Fund,REGULAR PAY
34290,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,TEACHER LEARNING & LEADERSHIP,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,TEACHER LEARNING & LEADERSHIP,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,247.67088,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
34519,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-High School,,,,,1.0,,,ART ,,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,
34674,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),,,,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,,,,961.590140179,,,
34826,Parent & Community Relations,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Americorp Hourly ,n/a,,,DISTRICT COMMUNITY RELATIONS,,EMPLOYEE RETIREMENT,,UNDESIGNATED,124.5,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
35449,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,FEDERAL GDPG FUND - FY ,Secondary Spec Ed Para ,Regular,,,,,TITLE VI-IDEA B-MAIN,,PARAPROFESSIONAL,864.35,SPECIAL EDUCATION,,SPECIAL EDUCATION
36028,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,Other Non-Compensation,Non PreK,PreK-12 Operating,Bank Charges,,Fiscal Services,,,,Dues And Fees *,,,Other Fiscal Services,,,102999.25,,General,FIXED CHARGES
36136,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,Non PreK,PreK-12 Operating,Travel And Subsistence - Employee Only,,,,,Undistributed,Travel And Subsistence - Employee Only,Unallocated,,Instructional Leadership,Area Superintendents,,1139.16,Undistributed,General Operating Fund,
36536,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,,,,,Undistributed,General Supplies,School ,,Curriculum Development And Instructional Staff Dev,,,995.48,Undistributed,General Operating Fund,
36552,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,FEDERAL GDPG FUND - FY ,Vision Itinerant Asst ,n/a,,,SPECIAL EDUCATION,0.7208333333329999,TITLE VI-IDEA B-MAIN,,PARAPROFESSIONAL,16530.0889885,SPECIAL EDUCATION,,SPECIAL EDUCATION
36685,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Supplemental *,,Support Services - Instructional Staff,,,,Certificated Employees Salaries And Wages,,,Instruction And Curriculum Development Services *,,,-12109.04402,,Special Trust, TECH-GEMS TRAININ
36910,Research & Accountability,Leadership,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Temporary Employee ,n/a,,,ASSESSMENT & RESEARCH,,EMPLOYEE RETIREMENT,,UNDESIGNATED,29.01,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
37200,Professional Development,ISPD,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Other General Supplies,,Support Services - Instructional Staff,,,,General Supplies *,,,Other Improvements Of Instruction Services *,,,873.59,,Special Trust,MILES
37321,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,-231995.22,,Title I - Disadvantaged Children/Targeted Assistance,ESEA TITLE I
37703,Teacher Compensation,Instruction,School Reported,School,At Risk,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Training And Recruiting,"TEACHER, BILINGUAL EDUCATION",,,Extra Duty Wages,School ,,Curriculum Development And Instructional Staff Dev,Instruction And Curriculum,TEACHER MASTER,1043.14890114,Accelerated Education,Esea Title Ii Part A Teacher & Principal Training,MISCELLANEOUS 
37790,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Cluster School Nurse,,,,,1.0,,,NURSE,75370.39,NURSES,General Fund,
38296,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Poverty,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,GRANTS MANAGEMENT,FEDERAL GDPG FUND - FY ,Social Worker ,Regular,,,,,TITLE I - CENTRAL PROGRAMS,,PROFESSIONAL-INSTRUCTIONAL,83.9,SOCIAL WORK SERVICES,,STUDENTS
38340,Teacher Compensation,Instruction,School on Central Budgets,Non-School,PreK,Teacher,Benefits,PreK,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Teacher on Special Assgnmt ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-401.47,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
38849,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,282.783958333,Bilingual Education And Special Language Programs,General Operating Fund,REGULAR PAY
38872,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Teacher (Afterschool),,,,OFFICE OF COMMUNITY & EDUCATION PROGRAMS,0.025,,,,2244.420616300001,,,
38886,Food Services,O&M,Shared Services,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Child Nutrition,"CLERICAL, FOOD SERVICE ADMN.",,Undistributed,Salaries Or Wages For Support Personnel,Undistributed,0.27,Food Services (Child Nutrition Fund Only),Child Nutrition,CO CLERICAL/BOOKKEEPER,8235.2187695,Undistributed,National School Breakfast And Lunch Program,REGULAR PAY
39346,Communications,Leadership,Leadership & Management,Non-School,Unspecified,Instructional Coach,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"ProTech, Hrly ",n/a,,,MULTILINGUAL OUTREACH,,NON-PROJECT,,UNDESIGNATED,-1.4,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
39481,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Alternative,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,46.27,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
39970,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, ESL KINDERGARTEN",,,Extended Year,Summer School,,School Leadership,Instruction And Curriculum,TEACHER BACHELOR,3035.67217116,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED YEAR
40152,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Non-Position,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITAL EQUIPMENT,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,6007.86,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
40308,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES,,MISCELLANEOUS,,,,,,,PUPIL SERVICES,,,326.95,Misc,General Fund,
40454,Research & Accountability,Leadership,Leadership & Management,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, VOCATIONAL EDUCATION",,Undistributed,Extra Duty Wages,Undistributed,,"""Guidance, Counseling And Evaluation Services""",Research And Evaluation,TEACHER MASTER,650.642477619,Undistributed,General Operating Fund,EXTENDED YEAR
40734,Communications,Leadership,Leadership & Management,Non-School,ELL,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,MULTILINGUAL OUTREACH,GENERAL FUND,Spanish Lng Prof Exam Spec ,n/a,,,MULTILINGUAL OUTREACH,,STATE ELPA (ENG LANG PROF ACT),,OFFICE/ADMINISTRATIVE SUPPORT,652.28,PUBLIC COMMUNICATIONS SERVICES,,CENTRAL
40836,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Special Education,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Secretary I ,n/a,,,SPECIAL EDUCATION,,NON-PROJECT,,UNDESIGNATED,-803.88,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
41135,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Legal Assistant FT ,n/a,,,SCHOOL ATTORNEY,,NON-PROJECT,,UNDESIGNATED,-1146.28,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
41285,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Special Education,Guidance Counselor,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Idea Part B Formula,"COUNSELOR, SPECIAL EDUCATION",,,Extended Day,School ,0.0,Instruction,Instruction And Curriculum,SPECIAL EDUCATION COUNSELOR,345.13263775,Services To Students With Disabilities (Special Education),Idea Part B Formula,MISCELLANEOUS 
41668,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER CERTIFIED               ,,,COUNSELOR-HIGH                ,,,,School ,0.7892043676989999,GUIDANCE SERVICES             ,,,53960.9825013,,GENERAL FUND                  ,
41746,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,SCHOOL NURSE SERVICES,GENERAL FUND,Psychologist ,n/a,,,SCHOOL NURSE SERVICES,0.07293041951330001,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,6078.94829767,NURSING SERVICES,,STUDENTS
41810,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TEACHER, REGULAR",,Game Workers,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Extracurricular Activities,Athletic Department,ATHLETIC OPTIONAL PAY,272.970769303,Athletics And Related Activities,General Operating Fund,GAME WORK
41903,Professional Development,ISPD,School on Central Budgets,Non-School,Poverty,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER LEARNING & LEADERSHIP,ARRA - STIMULUS,"Teacher,Retrd Shrt Term Sub ",n/a,,,TEACHER LEARNING & LEADERSHIP,0.004310344827590001,TITLE I A - ARRA,,PROFESSIONAL-INSTRUCTIONAL,128.534984925,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
42010,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Travel & Conferences,Non PreK,PreK-12 Operating,Non-Certificated Travel Reimbursement,,Support Services - Administration,,,,Travel Mileage/Meeting Expense *,,,District Administration Services*,,,1979.39,,General,OPERATIONS
42217,Student Assignment,Leadership,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Liaison, School ",n/a,,,SCHOOL CHOICE,,NON-PROJECT,,PROFESSIONAL-OTHER,228.41968,"PLANNING,RESEARCH,DEVELOPMENT",,CENTRAL
